Year,Team,Revenue,Expense,Payroll,Operating Income,NHL Points,NHL Win Per,Population,Adjusted Rev,Adjusted Exp,Adjusted Payroll,Adjusted Payroll (Million),Adjusted Income
2014,Anaheim Ducks,$107,$110.70,"$59,697,500",-$3.70,116,0.659,"13,166,609",$107,$110.70,"$59,697,500",$59.6975,-$3.70
2014,Arizona Coyotes,$80,$84.60,"$56,813,354",-$4.60,#N/A,#N/A,"4,488,970",$80,$84.60,"$56,813,354",$56.8134,-$4.60
2014,Boston Bruins,$164,$129.50,"$73,705,000",$34.50,117,0.659,"4,746,931",$164,$129.50,"$73,705,000",$73.7050,$34.50
2014,Buffalo Sabres,$103,$98.60,"$56,677,500",$4.40,52,0.256,"1,135,060",$103,$98.60,"$56,677,500",$56.6775,$4.40
2014,Calgary Flames,$122,$99.70,"$52,416,000",$22.30,77,0.427,"1,386,828",$122,$99.70,"$52,416,000",$52.4160,$22.30
2014,Carolina Hurricanes,$91,$105.00,"$58,815,000",-$14.00,83,0.439,"1,241,189",$91,$105.00,"$58,815,000",$58.8150,-$14.00
2014,Chicago Blackhawks,$172,$121.80,"$73,122,500",$50.20,107,0.561,"9,560,430",$172,$121.80,"$73,122,500",$73.1225,$50.20
2014,Colorado Avalanche,$104,$95.60,"$54,175,000",$8.40,112,0.634,"2,753,973",$104,$95.60,"$54,175,000",$54.1750,$8.40
2014,Columbus Blue Jackets,$86,$101.60,"$52,789,275",-$15.60,93,0.524,"2,001,635",$86,$101.60,"$52,789,275",$52.7893,-$15.60
2014,Dallas Stars,$113,$109.50,"$56,950,000",$3.50,91,0.488,"6,889,769",$113,$109.50,"$56,950,000",$56.9500,$3.50
2014,Detroit Red Wings,$134,$118.80,"$73,232,500",$15.20,93,0.476,"4,311,194",$134,$118.80,"$73,232,500",$73.2325,$15.20
2014,Edmonton Oilers,$119,$93.70,"$49,630,000",$25.30,67,0.354,"1,312,214",$119,$93.70,"$49,630,000",$49.6300,$25.30
2014,Florida Panthers,$83,$98.60,"$43,354,357",-$15.60,66,0.354,"5,893,858",$83,$98.60,"$43,354,357",$43.3544,-$15.60
2014,Los Angeles Kings,$146,$124.60,"$70,290,000",$21.40,100,0.561,"13,166,609",$146,$124.60,"$70,290,000",$70.2900,$21.40
2014,Minnesota Wild,$111,$116.40,"$69,100,000",-$5.40,98,0.524,"3,476,192",$111,$116.40,"$69,100,000",$69.1000,-$5.40
2014,Montreal Canadiens,$187,$127.20,"$72,880,000",$59.80,100,0.561,"4,093,501",$187,$127.20,"$72,880,000",$72.8800,$59.80
2014,Nashville Predators,$98,$96.30,"$56,895,000",$1.70,88,0.463,"1,768,350",$98,$96.30,"$56,895,000",$56.8950,$1.70
2014,New Jersey Devils,$111,$113.20,"$63,407,500",-$2.20,88,0.427,"19,280,929",$111,$113.20,"$63,407,500",$63.4075,-$2.20
2014,New York Islanders,$83,$85.50,"$37,037,500",-$2.50,79,0.415,"19,280,929",$83,$85.50,"$37,037,500",$37.0375,-$2.50
2014,New York Rangers,$217,$132.60,"$65,510,000",$84.40,96,0.549,"19,280,929",$217,$132.60,"$65,510,000",$65.5100,$84.40
2014,Ottawa Senators,$117,$94.50,"$57,852,500",$22.50,88,0.451,"1,326,612",$117,$94.50,"$57,852,500",$57.8525,$22.50
2014,Philadelphia Flyers,$136,$125.00,"$68,277,500",$11.00,94,0.512,"6,046,382",$136,$125.00,"$68,277,500",$68.2775,$11.00
2014,Pittsburgh Penguins,$141,$119.10,"$78,710,000",$21.90,109,0.622,"2,356,189",$141,$119.10,"$78,710,000",$78.7100,$21.90
2014,San Jose Sharks,$117,$111.40,"$64,724,166",$5.60,111,0.622,"1,949,578",$117,$111.40,"$64,724,166",$64.7242,$5.60
