Year,Team,Revenue,Expense,Payroll,Operating Income,NHL_Points,NHL Win Per,Population,Adjusted_Rev,Adjusted_Exp,Adjusted_Payroll,Adjusted_Payroll_million,Adjusted_Income
2014,Anaheim Ducks,107.00,110.70,59697500.00,-3.70,116.00,0.66,13166609.00,107.00,110.70,59697500.00,59.70,-3.70
2014,Arizona Coyotes,80.00,84.60,56813354.00,-4.60,,,4488970.00,80.00,84.60,56813354.00,56.81,-4.60
2014,Boston Bruins,164.00,129.50,73705000.00,34.50,117.00,0.66,4746931.00,164.00,129.50,73705000.00,73.71,34.50
2014,Buffalo Sabres,103.00,98.60,56677500.00,4.40,52.00,0.26,1135060.00,103.00,98.60,56677500.00,56.68,4.40
2014,Calgary Flames,122.00,99.70,52416000.00,22.30,77.00,0.43,1386828.00,122.00,99.70,52416000.00,52.42,22.30
2014,Carolina Hurricanes,91.00,105.00,58815000.00,-14.00,83.00,0.44,1241189.00,91.00,105.00,58815000.00,58.82,-14.00
2014,Chicago Blackhawks,172.00,121.80,73122500.00,50.20,107.00,0.56,9560430.00,172.00,121.80,73122500.00,73.12,50.20
2014,Colorado Avalanche,104.00,95.60,54175000.00,8.40,112.00,0.63,2753973.00,104.00,95.60,54175000.00,54.18,8.40
2014,Columbus Blue Jackets,86.00,101.60,52789275.00,-15.60,93.00,0.52,2001635.00,86.00,101.60,52789275.00,52.79,-15.60
2014,Dallas Stars,113.00,109.50,56950000.00,3.50,91.00,0.49,6889769.00,113.00,109.50,56950000.00,56.95,3.50
2014,Detroit Red Wings,134.00,118.80,73232500.00,15.20,93.00,0.48,4311194.00,134.00,118.80,73232500.00,73.23,15.20
2014,Edmonton Oilers,119.00,93.70,49630000.00,25.30,67.00,0.35,1312214.00,119.00,93.70,49630000.00,49.63,25.30
2014,Florida Panthers,83.00,98.60,43354357.00,-15.60,66.00,0.35,5893858.00,83.00,98.60,43354357.00,43.35,-15.60
2014,Los Angeles Kings,146.00,124.60,70290000.00,21.40,100.00,0.56,13166609.00,146.00,124.60,70290000.00,70.29,21.40
2014,Minnesota Wild,111.00,116.40,69100000.00,-5.40,98.00,0.52,3476192.00,111.00,116.40,69100000.00,69.10,-5.40
2014,Montreal Canadiens,187.00,127.20,72880000.00,59.80,100.00,0.56,4093501.00,187.00,127.20,72880000.00,72.88,59.80
2014,Nashville Predators,98.00,96.30,56895000.00,1.70,88.00,0.46,1768350.00,98.00,96.30,56895000.00,56.90,1.70
2014,New Jersey Devils,111.00,113.20,63407500.00,-2.20,88.00,0.43,19280929.00,111.00,113.20,63407500.00,63.41,-2.20
2014,New York Islanders,83.00,85.50,37037500.00,-2.50,79.00,0.41,19280929.00,83.00,85.50,37037500.00,37.04,-2.50
2014,New York Rangers,217.00,132.60,65510000.00,84.40,96.00,0.55,19280929.00,217.00,132.60,65510000.00,65.51,84.40
2014,Ottawa Senators,117.00,94.50,57852500.00,22.50,88.00,0.45,1326612.00,117.00,94.50,57852500.00,57.85,22.50
2014,Philadelphia Flyers,136.00,125.00,68277500.00,11.00,94.00,0.51,6046382.00,136.00,125.00,68277500.00,68.28,11.00
2014,Pittsburgh Penguins,141.00,119.10,78710000.00,21.90,109.00,0.62,2356189.00,141.00,119.10,78710000.00,78.71,21.90
2014,San Jose Sharks,117.00,111.40,64724166.00,5.60,111.00,0.62,1949578.00,117.00,111.40,64724166.00,64.72,5.60
2014,St. Louis Blues,98.00,104.50,63609167.00,-6.50,111.00,0.63,2803430.00,98.00,104.50,63609167.00,63.61,-6.50
2014,Tampa Bay Lightning,97.00,108.90,59526625.00,-11.90,101.00,0.56,2927395.00,97.00,108.90,59526625.00,59.53,-11.90
2014,Toronto Maple Leafs,190.00,119.40,62630000.00,70.60,84.00,0.46,5998737.00,190.00,119.40,62630000.00,62.63,70.60
2014,Vancouver Canucks,154.00,107.30,61910000.00,46.70,83.00,0.44,2507414.00,154.00,107.30,61910000.00,61.91,46.70
2014,Washington Capitals,117.00,103.60,62520000.00,13.40,90.00,0.46,6031945.00,117.00,103.60,62520000.00,62.52,13.40
2014,Winnipeg Jets,103.00,99.70,58141000.00,3.30,84.00,0.45,,103.00,99.70,58141000.00,58.14,3.30
